"id","info2","info3","info","devka_ins_id/id","devka_uninst_id/id","devka_upg_id/id","devka2_ins_id/id","devka2_uninst_id/id","devka2_upg_id/id","name","dt_date","bug_free","is_update"
"__export__.module_release_1","","","","base.module_devka","","","","","","Car service","2018-05-23 07:30:31","False","True"
"","","","","base.module_stock","","","","","","","","",""
"","","","","base.module_hr_timesheet","","","","","","","","",""
"","","","","base.module_hr_holidays","","","","","","","","",""
"","","","","base.module_hr_payroll","","","","","","","","",""
"","","","","base.module_purchase","","","","","","","","",""
"","","","","base.module_hr","","","","","","","","",""
"","","","","base.module_hr_attendance","","","","","","","","",""
"","","","","base.module_hr_expense","","","","","","","","",""
"","","","","base.module_hr_contract","","","","","","","","",""
"","","","","base.module_stock_dropshipping","","","","","","","","",""
"","","","","base.module_website_hr","","","","","","","","",""
"","","","","base.module_fleet","","","","","","","","",""
